categoria;modello;codice;descrizione;prezzo;unita;note
PREZZO BASE MQ;alpha;alpha-mq;Alpha - Prezzo €/mq;280;€/mq;H min fatturazione 1600mm - Anta L 500-1100mm
PREZZO BASE MQ;alpha_plus;alpha_plus-mq;Alpha Plus - Prezzo €/mq;295;€/mq;H min fatturazione 1600mm - Anta L 500-1100mm
PREZZO BASE MQ;maxima;maxima-mq;Maxima - Prezzo €/mq;310;€/mq;H min fatturazione 1600mm - Anta L 500-1100mm
PREZZO BASE MQ;prisma;prisma-mq-f1;Prisma - Prezzo €/mq fascia H ≤1400mm;550;€/mq;Mq min 3 - H min fatt 1400mm - Anta L max 700mm
PREZZO BASE MQ;prisma;prisma-mq-f2;Prisma - Prezzo €/mq fascia H 1401-2000mm;464;€/mq;Mq min 3 - Anta L max 700mm
PREZZO BASE MQ;prisma;prisma-mq-f3;Prisma - Prezzo €/mq fascia H 2001-3000mm;375;€/mq;Mq min 3 - Anta L max 700mm
CONFIGURAZIONE FISSA;maxima;maxima-lat-2-2200-2600;Maxima - Laterale - 2 ante - L.max 2200mm - H.max 2600mm;719;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-3-3300-2600;Maxima - Laterale - 3 ante - L.max 3300mm - H.max 2600mm;932;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-4-4400-2600;Maxima - Laterale - 4 ante - L.max 4400mm - H.max 2600mm;1255;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-5-5500-2600;Maxima - Laterale - 5 ante - L.max 5500mm - H.max 2600mm;1605;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-6-6600-2600;Maxima - Laterale - 6 ante - L.max 6600mm - H.max 2600mm;2144;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-7-7700-2600;Maxima - Laterale - 7 ante - L.max 7700mm - H.max 2600mm;2625;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-2-2200-3000;Maxima - Laterale - 2 ante - L.max 2200mm - H.max 3000mm;737;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-3-3300-3000;Maxima - Laterale - 3 ante - L.max 3300mm - H.max 3000mm;954;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-4-4400-3000;Maxima - Laterale - 4 ante - L.max 4400mm - H.max 3000mm;1280;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-5-5500-3000;Maxima - Laterale - 5 ante - L.max 5500mm - H.max 3000mm;1635;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-6-6600-3000;Maxima - Laterale - 6 ante - L.max 6600mm - H.max 3000mm;2178;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-lat-7-7700-3000;Maxima - Laterale - 7 ante - L.max 7700mm - H.max 3000mm;2664;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-cen-2+2-4400-2600;Maxima - Centrale - 2+2 ante - L.max 4400mm - H.max 2600mm;1320;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-cen-3+3-6600-2600;Maxima - Centrale - 3+3 ante - L.max 6600mm - H.max 2600mm;1792;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-cen-4+4-8800-2600;Maxima - Centrale - 4+4 ante - L.max 8800mm - H.max 2600mm;2433;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-cen-5+5-11000-2600;Maxima - Centrale - 5+5 ante - L.max 11000mm - H.max 2600mm;3012;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-cen-6+6-12000-2600;Maxima - Centrale - 6+6 ante - L.max 12000mm - H.max 2600mm;4550;€/pz;Prezzo fisso per configurazione da Listino_modulo
CONFIGURAZIONE FISSA;maxima;maxima-cen-7+7-14000-2600;Maxima - Centrale - 7+7 ante - L.max 14000mm - H.max 2600mm;5376;€/pz;Prezzo fisso per configurazione da Listino_modulo
